eta,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo,E_hs_hi,nu_mt,particle_true_density,inside_hs_mt,inside_hs_ds,meets_target_mt,meets_target_ds
0.8,0.28,1.1966655999999998,4608.585635515767,4741.298877899833,4608.585635515767,6108.953408642288,0.3226739803150208,1.2395199999999997,True,True,True,True
0.8,0.29,1.1972607999999998,4680.997058734993,4824.537027003076,4680.997058734993,6233.349744545637,0.32167301124272857,1.2395199999999997,True,True,True,True
0.8,0.3,1.1978559999999998,4754.727455135567,4909.598150066266,4754.727455135567,6358.833517533619,0.3206683917248908,1.2395199999999997,True,True,True,True
0.8,0.31,1.1984511999999998,4829.813806215114,4996.526732851231,4829.813806215114,6485.422732431063,0.3196598872683259,1.2395199999999997,True,True,True,True
0.8,0.32,1.1990463999999998,4906.294481583699,5085.368337849149,4906.294481583699,6613.1356441248845,0.3186472561439123,1.2395199999999997,True,True,True,True
0.8,0.33,1.1996415999999999,4984.209304820924,5176.169624751089,4984.209304820924,6741.990767891553,0.31763024902003945,1.2395199999999997,True,True,True,True
0.8,0.34,1.2002367999999999,5063.599623116367,5268.978370648251,5063.599623116367,6872.006889784889,0.31660860857541234,1.2395199999999997,True,True,True,True
0.8,0.35,1.200832,5144.508380949401,5363.843490233144,5144.508380949401,7003.203077101552,0.3155820690898061,1.2395199999999997,True,True,True,True
0.8,0.36,1.2014272,5226.9801980844595,5460.815055843867,5226.9801980844595,7135.598688940857,0.31455035601125464,1.2395199999999997,True,True,True,True
0.8,0.37,1.2020223999999997,5311.061452179562,5559.944317536881,5311.061452179562,7269.213386875405,0.31351318549803764,1.2395199999999997,True,True,True,True
0.8,0.38,1.2026176,5396.800366329683,5661.28372261781,5396.800366329683,7404.06714574863,0.3124702639337031,1.2395199999999997,True,True,True,True
0.8,0.39,1.2032128,5484.2471018923725,5764.886935081121,5484.2471018923725,7540.180264615155,0.311421287413217,1.2395199999999997,True,True,True,True
0.8,0.4,1.203808,5573.453856971279,5870.808854643128,5573.453856971279,7677.573377839728,0.31036594119817995,1.2395199999999997,True,True,True,True
0.8,0.41,1.2044031999999998,5664.474970964131,5979.105635710385,5664.474970964131,7816.267466370282,0.3093038991388798,1.2395199999999997,True,True,True,True
0.8,0.42,1.2049984,5757.367035615346,6089.834705552152,5757.367035615346,7956.283869200827,0.30823482306076583,1.2395199999999997,True,True,True,True
0.8,0.43,1.2055935999999998,5852.189013050455,6203.054782223872,5852.189013050455,8097.644295039438,0.3071583621127271,1.2395199999999997,True,True,True,True
0.8,0.44,1.2061888,5949.0023613098865,6318.825891830048,5949.0023613098865,8240.370834197263,0.3060741520743336,1.2395199999999997,True,True,True,True
0.8,0.45,1.2067839999999999,6047.871167943981,6437.209385540531,6047.871167943981,8384.485970713917,0.3049818146189612,1.2395199999999997,True,True,True,True
0.8,0.46,1.2073791999999999,6148.862292279745,6558.2679555734885,6148.862292279745,8530.012594735195,0.3038809565294514,1.2395199999999997,True,True,True,True
0.8,0.47,1.2079744,6252.045517023292,6682.065650706341,6252.045517023292,8676.974015159052,0.30277116886266225,1.2395199999999997,True,True,True,True
0.8,0.48,1.2085696,6357.493709920587,6808.6678908709555,6357.493709920587,8825.393972565913,0.3016520260589487,1.2395199999999997,True,True,True,True
