grade,eta,eta_in_window,vf,rho_g_cc,E_mt_mpa,E_hs_lo,E_hs_hi,meets_target
K1,0.9833190951051428,False,0.56,0.5891999999999997,2076.2932047844415,2033.78275096537,2076.2932047844415,False
K1,0.9833190951051428,False,0.57,0.5786499999999999,2062.1809057329865,2020.1226345235202,2062.1809057329865,False
K1,0.9833190951051428,False,0.58,0.5680999999999999,2048.1377379032847,2006.5607211321233,2048.1377379032847,False
K1,0.9833190951051428,False,0.59,0.5575499999999999,2034.163042757068,1993.0958750033042,2034.163042757068,False
K1,0.9833190951051428,False,0.6,0.5469999999999998,2020.2561661975938,1979.7269764026207,2020.2561661975938,False
K15,0.9799142233301894,False,0.0,1.18,2999.9999999999995,2999.999999999999,2999.9999999999995,False
K15,0.9799142233301894,False,0.01,1.1697,2985.973538919041,2985.023096056586,2985.973538919041,False
K15,0.9799142233301894,False,0.02,1.1594,2972.0053466920062,2970.1316740400034,2972.0053466920062,False
K15,0.9799142233301894,False,0.03,1.1490999999999998,2958.094986628571,2955.3249411945994,2958.094986628571,False
K15,0.9799142233301894,False,0.04,1.1387999999999998,2944.2420252143042,2940.6021137429734,2944.2420252143042,False
K15,0.9799142233301894,False,0.05,1.1285,2930.44603206244,2925.9624167476745,2930.44603206244,False
K15,0.9799142233301894,False,0.06,1.1182,2916.7065798659987,2911.405083975231,2916.7065798659987,False
K15,0.9799142233301894,False,0.07,1.1078999999999999,2903.023244350233,2896.929357762446,2903.023244350233,False
K15,0.9799142233301894,False,0.08,1.0976,2889.395604225416,2882.534488884934,2889.395604225416,False
K15,0.9799142233301894,False,0.09,1.0873000000000002,2875.823241139919,2868.2197364278295,2875.823241139919,False
K15,0.9799142233301894,False,0.1,1.0770000000000002,2862.3057396335944,2853.98436765864,2862.3057396335944,False
K15,0.9799142233301894,False,0.11,1.0667,2848.8426870914495,2839.827657902177,2848.8426870914495,False
K15,0.9799142233301894,False,0.12,1.0564,2835.433673697572,2825.748890417538,2835.433673697572,False
K15,0.9799142233301894,False,0.13,1.0461,2822.078292389335,2811.7473562770874,2822.078292389335,False
K15,0.9799142233301894,False,0.14,1.0358,2808.776138811827,2797.822354247388,2808.776138811827,False
K15,0.9799142233301894,False,0.15,1.0254999999999999,2795.526811272528,2783.9731906720604,2795.526811272528,False
K15,0.9799142233301894,False,0.16,1.0151999999999999,2782.329910696188,2770.199179356504,2782.329910696188,False
K15,0.9799142233301894,False,0.17,1.0049,2769.185040579929,2756.4996414544526,2769.185040579929,False
K15,0.9799142233301894,False,0.18,0.9946,2756.0918069485156,2742.873905356337,2756.0918069485156,False
K15,0.9799142233301894,False,0.19,0.9843000000000001,2743.049818309822,2729.321306579385,2743.049818309822,False
K15,0.9799142233301894,False,0.2,0.974,2730.058685610454,2715.8411876594487,2730.058685610454,False
K15,0.9799142233301894,False,0.21,0.9637000000000001,2717.118022191517,2702.432898044516,2717.118022191517,False
K15,0.9799142233301894,False,0.22,0.9534,2704.227443744533,2689.0957939898585,2704.227443744533,False
K15,0.9799142233301894,False,0.23,0.9431,2691.3865682674627,2675.8292384547913,2691.3865682674627,False
K15,0.9799142233301894,False,0.24,0.9328,2678.595016020852,2662.6326010010075,2678.595016020852,False
K15,0.9799142233301894,False,0.25,0.9225000000000001,2665.8524094840564,2649.505257692453,2665.8524094840564,False
K15,0.9799142233301894,False,0.26,0.9122,2653.158373311565,2636.4465909967034,2653.158373311565,False
K15,0.9799142233301894,False,0.27,0.9019,2640.5125342893607,2623.45598968782,2640.5125342893607,False
K15,0.9799142233301894,False,0.28,0.8916,2627.91452129136,2610.532848750642,2627.91452129136,False
K15,0.9799142233301894,False,0.29,0.8813,2615.363965235863,2597.6765692864938,2615.363965235863,False
K15,0.9799142233301894,False,0.3,0.871,2602.860499042036,2584.88655842026,2602.860499042036,False
K15,0.9799142233301894,False,0.31,0.8607,2590.403757586397,2572.162229208823,2590.403757586397,False
K15,0.9799142233301894,False,0.32,0.8504,2577.993377659288,2559.5030005508106,2577.993377659288,False
K15,0.9799142233301894,False,0.33,0.8401,2565.6289979213125,2546.908297097627,2565.6289979213125,False
K15,0.9799142233301894,False,0.34,0.8298,2553.310258859735,2534.377549165756,2553.310258859735,False
K15,0.9799142233301894,False,0.35,0.8195000000000001,2541.036802744829,2521.9101926502876,2541.036802744829,False
K15,0.9799142233301894,False,0.36,0.8092000000000001,2528.8082735861262,2509.50566893965,2528.8082735861262,False
K15,0.9799142233301894,False,0.37,0.7989,2516.624317088588,2497.1634248315213,2516.624317088588,False
K15,0.9799142233301894,False,0.38,0.7886000000000001,2504.4845806086596,2484.882912449883,2504.4845806086596,False
K15,0.9799142233301894,False,0.39,0.7783000000000001,2492.388713110195,2472.663589163204,2492.388713110195,False
K15,0.9799142233301894,False,0.4,0.7680000000000001,2480.336365120226,2460.5049175037216,2480.336365120226,False
K15,0.9799142233301894,False,0.41,0.7577000000000002,2468.327188684579,2448.406365087788,2468.327188684579,False
K15,0.9799142233301894,False,0.42,0.7474000000000002,2456.3608373232914,2436.3674045372695,2456.3608373232914,False
K15,0.9799142233301894,False,0.43,0.7371000000000002,2444.436965985831,2424.3875134019618,2444.436965985831,False
K15,0.9799142233301894,False,0.44,0.7268000000000002,2432.5552310060893,2412.4661740830065,2432.5552310060893,False
K15,0.9799142233301894,False,0.45,0.7165000000000001,2420.715290057124,2400.6028737572797,2420.715290057124,False
K15,0.9799142233301894,False,0.46,0.7062000000000002,2408.916802105642,2388.7971043027283,2408.916802105642,False
K15,0.9799142233301894,False,0.47,0.6959000000000001,2397.1594273661885,2377.048362224632,2397.1594273661885,False
K15,0.9799142233301894,False,0.48,0.6856000000000002,2385.442827255032,2365.356148582772,2385.442827255032,False
K15,0.9799142233301894,False,0.49,0.6753000000000001,2373.7666643437074,2353.7199689194754,2373.7666643437074,False
K15,0.9799142233301894,False,0.5,0.6650000000000001,2362.1306023122174,2342.1393331885197,2362.1306023122174,False
K15,0.9799142233301894,False,0.51,0.6547000000000001,2350.534305901844,2330.613755684871,2350.534305901844,False
K15,0.9799142233301894,False,0.52,0.6444000000000001,2338.977440867558,2319.1427549752366,2338.977440867558,False
K15,0.9799142233301894,False,0.53,0.6341000000000001,2327.459673930003,2307.7258538294122,2327.459673930003,False
K15,0.9799142233301894,False,0.54,0.6238000000000001,2315.9806727270256,2296.3625791523955,2315.9806727270256,False
K15,0.9799142233301894,False,0.55,0.6135,2304.5401057647196,2285.0524619172497,2304.5401057647196,False
K15,0.9799142233301894,False,0.56,0.6032000000000001,2293.13764236797,2273.7950370986996,2293.13764236797,False
K15,0.9799142233301894,False,0.57,0.5929000000000002,2281.7729526304456,2262.589843607425,2281.7729526304456,False
K15,0.9799142233301894,False,0.58,0.5826000000000002,2270.445707364053,2251.436424225063,2270.445707364053,False
K15,0.9799142233301894,False,0.59,0.5723000000000001,2259.1555780477656,2240.334325539848,2259.1555780477656,False
K15,0.9799142233301894,False,0.6,0.5620000000000002,2247.9022367758485,2229.2830978829215,2247.9022367758485,False
K20,0.9730325761726207,False,0.0,1.18,2999.9999999999995,3000.0,2999.9999999999995,False
K20,0.9730325761726207,False,0.01,1.1702,2994.757899956689,2994.6942593238105,2994.757899956689,False
K20,0.9730325761726207,False,0.02,1.1603999999999999,2989.5141544859644,2989.3879682673346,2989.5141544859644,False
K20,0.9730325761726207,False,0.03,1.1505999999999998,2984.268711384164,2984.081077888843,2984.268711384164,False
K20,0.9730325761726207,False,0.04,1.1407999999999998,2979.02151805391,2978.7735389319337,2979.02151805391,False
K20,0.9730325761726207,False,0.05,1.131,2973.7725214991715,2973.4653018216372,2973.7725214991715,False
K20,0.9730325761726207,False,0.06,1.1212,2968.5216683202934,2968.1563166604797,2968.5216683202934,False
K20,0.9730325761726207,False,0.07,1.1114,2963.26890470893,2962.846533224495,2963.26890470893,False
K20,0.9730325761726207,False,0.08,1.1016,2958.014176442935,2957.5359009591684,2958.014176442935,False
K20,0.9730325761726207,False,0.09,1.0918,2952.7574288811466,2952.224368975353,2952.7574288811466,False
K20,0.9730325761726207,False,0.1,1.082,2947.4986069581255,2946.91188604511,2947.4986069581255,False
K20,0.9730325761726207,False,0.11,1.0722,2942.2376551788084,2941.5984005975047,2942.2376551788084,False
K20,0.9730325761726207,False,0.12,1.0624,2936.974517613091,2936.2838607143476,2936.974517613091,False
K20,0.9730325761726207,False,0.13,1.0526,2931.7091378903156,2930.9682141258813,2931.7091378903156,False
K20,0.9730325761726207,False,0.14,1.0428,2926.441459193715,2925.6514082063964,2926.441459193715,False
K20,0.9730325761726207,False,0.15,1.033,2921.1714242547378,2920.3333899698077,2921.1714242547378,False
K20,0.9730325761726207,False,0.16,1.0231999999999999,2915.898975347324,2915.014106065157,2915.898975347324,False
K20,0.9730325761726207,False,0.17,1.0133999999999999,2910.6240542820797,2909.693502772066,2910.6240542820797,False
K20,0.9730325761726207,False,0.18,1.0036,2905.3466024003737,2904.37152599612,2905.3466024003737,False
K20,0.9730325761726207,False,0.19,0.9938,2900.066560568355,2899.048121264199,2900.066560568355,False
K20,0.9730325761726207,False,0.2,0.984,2894.7838691708707,2893.7232337197324,2894.7838691708707,False
K20,0.9730325761726207,False,0.21,0.9742,2889.498468105307,2888.3968081179055,2889.498468105307,False
K20,0.9730325761726207,False,0.22,0.9643999999999999,2884.2102967753353,2883.068788820786,2884.2102967753353,False
K20,0.9730325761726207,False,0.23,0.9545999999999999,2878.91929408457,2877.7391197923935,2878.91929408457,False
K20,0.9730325761726207,False,0.24,0.9447999999999999,2873.6253984301306,2872.4077445937087,2873.6253984301306,False
