E_required_mpa,min_density_g_cc,eta,vf,E_achieved_mpa
3000.0,0.6179518599880002,0.967,0.6,3032.3344716280462
3025.0,0.6179518599880002,0.967,0.6,3032.3344716280462
3050.0,0.6222226672960002,0.966,0.6,3088.356248477471
3075.0,0.6222226672960002,0.966,0.6,3088.356248477471
3100.0,0.6264846415000002,0.965,0.6,3143.7547310411223
3125.0,0.6264846415000002,0.965,0.6,3143.7547310411223
3150.0,0.630737791744,0.964,0.6,3198.5400447171014
3175.0,0.630737791744,0.964,0.6,3198.5400447171014
3200.0,0.6349821271720001,0.963,0.6,3252.7220951365803
3225.0,0.6349821271720001,0.963,0.6,3252.7220951365803
3250.0,0.6349821271720001,0.963,0.6,3252.7220951365803
3275.0,0.6392176569280001,0.962,0.6,3306.310574226805
3300.0,0.6392176569280001,0.962,0.6,3306.310574226805
3325.0,0.6434443901560002,0.961,0.6,3359.314966058295
3350.0,0.6434443901560002,0.961,0.6,3359.314966058295
3375.0,0.6476623360000002,0.96,0.6,3411.7445524871896
3400.0,0.6476623360000002,0.96,0.6,3411.7445524871896
3425.0,0.6518715036040001,0.959,0.6,3463.6084186030907
3450.0,0.6518715036040001,0.959,0.6,3463.6084186030907
3475.0,0.6560719021120002,0.958,0.6,3514.9154579915153
3500.0,0.6560719021120002,0.958,0.6,3514.9154579915153
3525.0,0.6602635406680001,0.957,0.6,3565.674377819862
3550.0,0.6602635406680001,0.957,0.6,3565.674377819862
3575.0,0.6644464284160001,0.956,0.6,3615.8937037546148
3600.0,0.6644464284160001,0.956,0.6,3615.8937037546148
3625.0,0.6686205745000002,0.955,0.6,3665.5817847173935
3650.0,0.6686205745000002,0.955,0.6,3665.5817847173935
3675.0,0.6727859880640003,0.954,0.6,3714.7467974866404
3700.0,0.6727859880640003,0.954,0.6,3714.7467974866404
3725.0,0.676942678252,0.953,0.6,3763.3967511515384
3750.0,0.676942678252,0.953,0.6,3763.3967511515384
3775.0,0.6810906542080001,0.952,0.6,3811.539491424136
3800.0,0.6810906542080001,0.952,0.6,3811.539491424136
3825.0,0.6852299250760002,0.951,0.6,3859.1827048155305
3850.0,0.6852299250760002,0.951,0.6,3859.1827048155305
3875.0,0.6893605000000002,0.95,0.6,3906.3339226813646
3900.0,0.6893605000000002,0.95,0.6,3906.3339226813646
3925.0,0.6934823881240002,0.949,0.6,3953.0005251418665
3950.0,0.6934823881240002,0.949,0.6,3953.0005251418665
3975.0,0.6975955985920003,0.948,0.6,3999.189744881168
4000.0,0.7017001405480002,0.947,0.6,4044.9086708305954
4025.0,0.7017001405480002,0.947,0.6,4044.9086708305954
4050.0,0.7057960231360001,0.946,0.6,4090.1642517400933
4075.0,0.7057960231360001,0.946,0.6,4090.1642517400933
4100.0,0.7098832555000002,0.945,0.6,4134.9632996421815
4125.0,0.7098832555000002,0.945,0.6,4134.9632996421815
4150.0,0.7139618467840001,0.944,0.6,4179.312493212111
4175.0,0.7139618467840001,0.944,0.6,4179.312493212111
4200.0,0.7180318061320002,0.943,0.6,4223.2183810281995
