table,eta,vf,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g,E_hs_lo_mpa,E_hs_hi_mpa,inside_hs_band,feasible,hs_feasible,grade,eta_in_requested_range
grid,0.8,0.3,1.2395199999999997,4754.727455135567,4909.598150066266,0.3206683917248908,1.1978559999999998,3969.3648110754275,4754.727455135567,6358.833517533619,True,True,True,,
grid,0.8,0.31,1.2395199999999997,4829.813806215114,4996.526732851231,0.3196598872683259,1.1984511999999998,4030.0462849176624,4829.813806215114,6485.422732431063,True,True,True,,
grid,0.8,0.32,1.2395199999999997,4906.294481583699,5085.368337849149,0.3186472561439123,1.1990463999999998,4091.830375858432,4906.294481583699,6613.1356441248845,True,True,True,,
grid,0.8,0.33,1.2395199999999997,4984.209304820924,5176.169624751089,0.31763024902003945,1.1996415999999999,4154.748638944269,4984.209304820924,6741.990767891553,True,True,True,,
grid,0.8,0.34,1.2395199999999997,5063.599623116367,5268.978370648251,0.31660860857541234,1.2002367999999999,4218.833836053325,5063.599623116367,6872.006889784889,True,True,True,,
grid,0.8,0.35000000000000003,1.2395199999999997,5144.5083809494035,5363.843490233144,0.31558206908980607,1.200832,4284.119994261815,5144.5083809494035,7003.203077101552,True,True,True,,
grid,0.8,0.36,1.2395199999999997,5226.9801980844595,5460.815055843867,0.31455035601125464,1.2014272,4350.642467628883,5226.9801980844595,7135.598688940857,True,True,True,,
grid,0.8,0.37,1.2395199999999997,5311.061452179562,5559.944317536881,0.31351318549803764,1.2020223999999997,4418.43800263586,5311.061452179562,7269.213386875405,True,True,True,,
grid,0.8,0.38,1.2395199999999997,5396.800366329683,5661.28372261781,0.3124702639337031,1.2026176,4487.544807534568,5396.800366329683,7404.06714574863,True,True,True,,
grid,0.8,0.39,1.2395199999999997,5484.2471018923725,5764.886935081121,0.311421287413217,1.2032128,4558.002625879954,5484.2471018923725,7540.180264615155,True,True,True,,
grid,0.8,0.4,1.2395199999999997,5573.453856971279,5870.808854643128,0.31036594119817995,1.203808,4629.852814544577,5573.453856971279,7677.573377839728,True,True,True,,
grid,0.8,0.41000000000000003,1.2395199999999997,5664.474970964134,5979.105635710387,0.3093038991388797,1.2044031999999998,4703.138426537006,5664.474970964134,7816.267466370287,True,True,True,,
grid,0.8,0.42,1.2395199999999997,5757.367035615346,6089.834705552152,0.30823482306076583,1.2049984,4777.9042989728005,5757.367035615346,7956.283869200827,True,True,True,,
grid,0.8,0.43,1.2395199999999997,5852.189013050455,6203.054782223872,0.3071583621127271,1.2055935999999998,4854.19714657614,5852.189013050455,8097.644295039438,True,True,True,,
grid,0.8,0.44,1.2395199999999997,5949.0023613098865,6318.825891830048,0.3060741520743336,1.2061888,4932.065661121946,5949.0023613098865,8240.370834197263,True,True,True,,
grid,0.8,0.45,1.2395199999999997,6047.871167943981,6437.209385540531,0.3049818146189612,1.2067839999999999,5011.560617263721,6047.871167943981,8384.485970713917,True,True,True,,
grid,0.8,0.46,1.2395199999999997,6148.862292279745,6558.2679555734885,0.3038809565294514,1.2073791999999999,5092.73498523061,6148.862292279745,8530.012594735195,True,True,True,,
grid,0.8,0.47000000000000003,1.2395199999999997,6252.045517023292,6682.065650706341,0.30277116886266225,1.2079744,5175.644050919698,6252.045517023292,8676.974015159052,True,True,True,,
grid,0.8,0.48,1.2395199999999997,6357.493709920587,6808.6678908709555,0.3016520260589487,1.2085696,5260.345543955919,6357.493709920587,8825.393972565913,True,True,True,,
grid,0.8,0.49,1.2395199999999997,6465.282996263859,6938.141481227802,0.3005230849922558,1.2091648,5346.899774343298,6465.282996263859,8975.296652449859,True,True,True,,
grid,0.8,0.5,1.2395199999999997,6575.492943102139,7070.554624997056,0.29938388395611454,1.2097599999999997,5435.369778387565,6575.492943102139,9126.70669876731,True,True,True,,
grid,0.8,0.51,1.2395199999999997,6688.206756093104,7205.976935525551,0.29823394158040123,1.2103552,5525.821474632491,6688.206756093104,9279.649227820339,True,True,True,,
grid,0.8,0.52,1.2395199999999997,6803.511490019955,7344.479447200109,0.2970727556732493,1.2109503999999998,5618.323830620938,6803.511490019955,9434.149842491943,True,True,True,,
grid,0.8,0.53,1.2395199999999997,6921.4982740930955,7486.134625455665,0.29589980198196975,1.2115456,5712.9490413675685,6921.4982740930955,9590.234646851277,True,True,True,,
grid,0.8,0.54,1.2395199999999997,7042.262553262378,7631.016375389729,0.2947145328662608,1.2121407999999998,5809.772720514299,7042.262553262378,9747.930261147008,True,True,True,,
grid,0.8,0.55,1.2395199999999997,7165.904346883252,7779.200049241204,0.2935163758763414,1.2127359999999998,5908.87410523251,7165.904346883252,9907.263837207762,True,True,True,,
grid,0.8,0.56,1.2395199999999997,7292.528526210518,7930.76245251586,0.2923047322279255,1.2133311999999998,6010.336276039485,7292.528526210518,10068.263074268942,True,True,True,,
grid,0.8,0.5700000000000001,1.2395199999999997,7422.24511233819,8085.781848719292,0.29107897516516595,1.2139263999999996,6114.246392811123,7422.24511233819,10230.956235245978,True,True,True,,
grid,0.8,0.58,1.2395199999999997,7555.169596364886,8244.337962616994,0.2898384482018082,1.2145215999999999,6220.695948400496,7555.169596364886,10395.372163474558,True,True,True,,
grid,0.8,0.59,1.2395199999999997,7691.42328374353,8406.511981941272,0.2885824632298168,1.2151167999999997,6329.781041413906,7691.42328374353,10561.540299939183,True,True,True,,
grid,0.8,0.6,1.2395199999999997,7831.133664973734,8572.38655748704,0.2873102984836381,1.215712,6441.6026698541555,7831.133664973734,10729.490701012102,True,True,True,,
grid,0.8025,0.0,1.2272898603125,2999.9999999999995,2999.9999999999995,0.35,1.18,2542.372881355932,2999.9999999999995,3000.000000000001,True,False,False,,
grid,0.8025,0.01,1.2272898603125,3046.1819157978716,3046.3140085666423,0.349026609978643,1.180472898603125,2580.4759426518594,3046.1819157978716,3099.2099883639908,True,False,False,,
grid,0.8025,0.02,1.2272898603125,3093.020744187763,3093.553775126967,0.34805415099588,1.1809457972062498,2619.1047476564013,3093.020744187763,3199.051783753057,True,False,False,,
grid,0.8025,0.03,1.2272898603125,3140.5311364499466,3141.7410336773246,0.3470824972000306,1.1814186958093749,2658.271066464213,3140.5311364499466,3299.540622350747,True,False,False,,
