resolution_n,seed,model,vf_target,vf_realised,E_fe_mpa,K_fe_mpa,G_fe_mpa,nu_fe,rho_g_cc,E_mt_mpa,E_hs_lo_mpa,E_hs_hi_mpa,rel_diff_fe_vs_mt,inside_hs_bounds
16,0,FE-KUBC-equivalent-n16,0.3,0.3000000000000001,3809.090653259322,3343.6530027494455,1453.7034984806262,0.3101332758848305,0.964,3696.1122550388145,3696.1122550388145,3766.322691098364,0.030566820059776893,False
24,0,FE-KUBC-equivalent-n24,0.3,0.3000000000000001,3796.732370472424,3343.6752754222507,1448.3047095229456,0.3107505435520619,0.964,3696.1122550388145,3696.1122550388145,3766.322691098364,0.027223230381175974,False
16,1,FE-KUBC-equivalent-n16,0.3,0.3000000000000001,3805.0105968975918,3343.6356284702842,1451.922092465702,0.3103356635464499,0.964,3696.1122550388145,3696.1122550388145,3766.322691098364,0.029462942233510078,False
24,1,FE-KUBC-equivalent-n24,0.3,0.3000000000000001,3794.6946548209817,3343.674953030179,1447.4152600811685,0.3108520959659436,0.964,3696.1122550388145,3696.1122550388145,3766.322691098364,0.026671917133407493,False

summary_quantity,value
vf_realised_mean,0.3000000000000001
E_fe_mean_mpa,3801.38206886258
E_fe_sd_mpa,6.805137539284779
E_fe_min_mpa,3794.6946548209817
E_fe_max_mpa,3809.090653259322
E_fe_spread_pct,0.3787043285193362
E_mt_mpa,3696.1122550388145
E_hs_lo_mpa,3696.1122550388145
E_hs_hi_mpa,3766.322691098364
rel_diff_mean_fe_vs_mt,0.02848122745196767
all_cases_inside_hs,False
mean_inside_hs,False
hs_hi_exceedance_pct,0.9308649481118111
hs_band_width_pct,1.899575316302512
E_fe_by_resolution,"{'16': 3807.050625078457, '24': 3795.713512646703}"
rho_g_cc,0.964
