table,grade,eta,particle_true_density_g_cc,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,specific_E_mpa_cc_g
pareto_front,,0.97,0.22181058000000012,0.6,0.605086348,2860.4246910540733,2860.519642929168,2860.4246910540733,2860.741596740478,4727.2999969486555
pareto_front,,0.97,0.22181058000000012,0.595,0.6098772951,2861.7934915272153,2861.887820025683,2861.7934915272153,2862.110958334961,4692.408644361772
pareto_front,,0.97,0.22181058000000012,0.59,0.6146682422,2863.1584434831548,2863.2521253250925,2863.1584434831548,2863.4764019822064,4658.0549423465145
pareto_front,,0.9675,0.23968856843749975,0.6,0.6158131410624998,3004.0866220233547,3004.4407849530903,3004.0866220233547,3005.2727222963617,4878.243775116947
pareto_front,,0.9675,0.23968856843749975,0.595,0.6205146982203124,3004.3115358252435,3004.663184504954,3004.3115358252435,3005.4990379195383,4841.644435565923
pareto_front,,0.9675,0.23968856843749975,0.59,0.6252162553781249,3004.531574346704,3004.8806243016465,3004.531574346704,3005.720214847727,4805.5877442431365
pareto_front,,0.965,0.25747440250000025,0.6,0.6264846415000002,3143.7547310411223,3144.3404579006756,3143.7547310411223,3145.71428571399,5018.087472206805
pareto_front,,0.9624999999999999,0.2751683203125005,0.6,0.6371009921875003,3279.5899335388985,3280.5178387307083,3279.5899335388985,3282.6774173711888,5147.676700798023
pareto_front,,0.96,0.29277056000000035,0.6,0.6476623360000002,3411.7445524871896,3413.231560513706,3411.7445524871896,3416.6607110568225,5267.782859751147
pareto_front,,0.9575,0.31028135968749987,0.6,0.6581688158124999,3540.3628957991154,3542.707450807893,3540.3628957991154,3548.074983785373,5379.110663923797
pareto_front,,0.955,0.3277009575000004,0.6,0.6686205745000002,3665.5817847173935,3669.1444181376146,3665.5817847173935,3677.2617661945337,5482.3047996369905
pareto_front,,0.9524999999999999,0.34502959156250074,0.6,0.6790177549375004,3787.531038871698,3792.7190086809037,3787.531038871698,3804.507301061967,5577.955821229326
pareto_front,,0.95,0.3622675000000003,0.6,0.6893605000000002,3906.3339226813646,3913.588988077181,3906.3339226813646,3930.0532738820625,5666.605386704581
pareto_front,,0.9475,0.3794149209374999,0.6,0.6996489525624999,4022.107557038348,4031.8961961177624,4022.107557038348,4054.105132547978,5748.750916166135
pareto_front,,0.945,0.3964720925000004,0.6,0.7098832555000002,4134.9632996421815,4147.768849330335,4134.9632996421815,4176.838605553706,5824.849744807342
pareto_front,,0.9425,0.41343925281249994,0.6,0.7200635516874999,4245.007096916427,4261.323419786504,4245.007096916427,4298.404858190868,5895.322832225114
pareto_front,,0.94,0.4303166400000003,0.6,0.7301899840000001,4352.339810078255,4372.666181776241,4352.339810078255,4418.934607794057,5960.558081385919
pareto_front,,0.9375,0.4471044921875,0.6,0.7402626953125,4457.057517636988,4481.894498269417,4457.057517636988,4538.54143539826,6020.91331342241
pareto_front,,0.9349999999999999,0.4638030475000004,0.6,0.7502818285000001,4559.251796348939,4589.097898635812,4559.251796348939,4657.324471252286,6076.71893835416
pareto_front,,0.9325,0.48041254406250006,0.6,0.7602475264374999,4659.0099824428125,4694.358989279135,4659.0099824428125,4775.370588209253,6128.280356629125
pareto_front,,0.9299999999999999,0.49693322000000034,0.6,0.7701599320000001,4756.415414746813,4797.754227554598,4756.415414746813,4892.756205194036,6175.880121931366
pareto_front,,0.9275,0.5133653134375,0.6,0.7800191880625,4851.547661187977,4899.354583936878,4851.547661187977,5009.548779381486,6219.779891875224
pareto_front,,0.925,0.5297090624999998,0.6,0.7898254374999998,4944.482729993947,4999.226112519992,4944.482729993947,5125.808048096597,6260.22218991136
pareto_front,,0.9225,0.5459647053125,0.6,0.7995788231875,5035.293266802891,5097.430444887732,5035.293266802891,5241.587068147529,6297.431998923917
pareto_front,,0.9199999999999999,0.5621324800000005,0.6,0.8092794880000003,5124.048738776933,5194.025218987724,5124.048738776933,5356.93309017832,6331.6182045342175
pareto_front,,0.9175,0.5782126246875002,0.6,0.8189275748125001,5210.815606715917,5289.064454778449,5210.815606715917,5471.888297858522,6362.974903988273
pareto_front,,0.915,0.5942053774999998,0.6,0.8285232264999998,5295.657486080464,5382.598884354841,5295.657486080464,5586.490435719877,6391.682594646567
pareto_front,,0.9125,0.6101109765625,0.6,0.8380665859375,5378.635297753831,5474.676241552869,5378.635297753831,5700.773344770431,6417.9092544741425
pareto_front,,0.91,0.6259296599999997,0.6,0.8475577959999998,5459.807409301357,5565.341520043836,5459.807409301357,5814.767421348053,6441.811325515032
pareto_front,,0.9075,0.6416616659375001,0.6,0.8569969995625,5539.229767421859,5654.637201894326,5539.229767421859,5928.500011779245,6463.534610097417
pareto_front,,0.905,0.6573072324999998,0.6,0.8663843394999998,5616.956022227463,5742.603460510675,5616.956022227463,6041.995753110001,6483.215088431852
pareto_front,,0.9025,0.6728665978125002,0.6,0.8757199586875002,5693.037643935983,5829.278343775391,5693.037643935983,6155.276868339066,6500.979665312777
pareto_front,,0.9,0.6883399999999997,0.6,0.8850039999999998,5767.524032512262,5914.697937060387,5767.524032512262,6268.3634231091555,6516.946852796444
pareto_front,,0.8975,0.7037276771875003,0.6,0.8942366063125001,5840.462620751807,5998.896510381032,5840.462620751807,6381.273549621138,6531.227394990803
pareto_front,,0.895,0.7190298674999999,0.6,0.9034179204999999,5911.898971260761,6081.906651258579,5911.898971260761,6494.023642570213,6543.924840442393
pareto_front,,0.8925,0.7342468090625003,0.6,0.9125480854375001,5981.876867750555,6163.759384625877,5981.876867750555,6606.628531115568,6555.136067030026
pareto_front,,0.89,0.7493787399999998,0.6,0.9216272439999998,6050.438401032901,6244.484282239342,6050.438401032901,6719.1016302500175,6564.95176376633
pareto_front,,0.8875,0.7644258984375003,0.6,0.9306555390625002,6117.62405007119,6324.109560698093,6117.62405007119,6831.4550744056905,6573.456873456967
pareto_front,,0.885,0.7793885224999998,0.6,0.9396331134999998,6183.472758417124,6402.662172510186,6183.472758417124,6943.699835693593,6580.730999767097
pareto_front,,0.8825000000000001,0.7942668503124997,0.6,0.9485601101874997,6248.022006336643,6480.16788792749,6248.022006336643,7055.84582881146,6586.848781888594
pareto_front,,0.88,0.8090611200000001,0.6,0.957436672,6311.307878906351,6556.651370821781,6311.307878906351,7167.902004351701,6591.880239684772
pareto_front,,0.8775,0.8237715696875004,0.6,0.9662629418125002,6373.365130340977,6632.136247051556,6373.365130340977,7279.876431988602,6595.891091907057
pareto_front,,0.875,0.8383984375,0.6,0.9750390624999999,6434.227244793221,6706.645168462577,6434.227244793221,7391.776374811869,6598.943049825987
pareto_front,,0.8725,0.8529419615624997,0.6,0.9837651769374998,6493.9264938497845,6780.199870930969,6493.9264938497845,7503.6083558951805,6601.094088393774
pareto_front,,0.87,0.8674023800000001,0.6,0.992441428,6552.493990931338,6852.82122831385,6552.493990931338,7615.378218037972,6602.398696854217
pareto_front,,0.8675,0.8817799309374997,0.6,1.0010679585624997,6609.959742789243,6924.529302296906,6609.959742789243,7727.091177490892,6602.908110535198
pareto_front,,0.865,0.8960748525000002,0.6,1.0096449115000001,6666.352698278475,6995.343387990223,6666.352698278475,7838.751872367713,6602.670525397359
pareto_front,,0.8625,0.9102873828124997,0.6,1.0181724296874997,6721.70079457328,7065.282056673816,6721.70079457328,7950.364406353128,6601.731296767016
pareto_front,,0.86,0.9244177600000001,0.6,1.0266506560000002,6776.03100098081,7134.363195007485,6776.03100098081,8061.932388238162,6600.13312355085
pareto_front,,0.8575,0.9384662221874999,0.6,1.0350797333125,6829.369360497203,7202.604042087474,6829.369360497203,8173.458967746595,6597.916219112518
pareto_front,,0.855,0.9524330075000003,0.6,1.0434598045,6881.741029240689,7270.021223186656,6881.741029240689,8284.946868058125,6595.118469885141
pareto_front,,0.8525,0.9663183540624998,0.6,1.0517910124374998,6933.170313887289,7336.630781605722,6933.170313887289,8396.39841538407,6591.775582698541
pareto_front,,0.85,0.9801225000000002,0.6,1.0600735000000001,6983.68070722614,7402.448208168542,6983.68070722614,8507.81556590802,6587.921221713531
pareto_front,,0.8475,0.9938456834374998,0.6,1.0683074100624999,7033.294921943813,7467.488469096115,7033.294921943813,8619.199930366816,6583.587135778025
pareto_front,,0.845,1.0074881425,0.6,1.0764928855,7082.0349227397255,7531.766031276609,7082.0349227397255,8730.552796514765,6578.803276949038
pareto_front,,0.8425,1.0210501153125,0.6,1.0846300691875,7129.921956868015,7595.294887399692,7129.921956868015,8841.875149685655,6573.59791086104
pareto_front,,0.8400000000000001,1.0345318399999996,0.6,1.0927191039999997,7176.9765831952345,7658.088577608555,7176.9765831952345,8953.167691643126,6567.9977195632855
pareto_front,,0.8375,1.0479335546875,0.6,1.1007601328124998,7223.218699857224,7720.160211094045,7223.218699857224,9064.430857887784,6562.0278973962495
pareto_front,,0.8350000000000001,1.0612554974999995,0.6,1.1087532984999995,7268.667570593491,7781.52248619245,7268.667570593491,9175.664833571604,6555.712240429916
pareto_front,,0.8325,1.0744979065625,0.6,1.1166987439375,7313.341849832153,7842.187708868482,7313.341849832153,9286.869568152966,6549.073229943088
pareto_front,,0.8300000000000001,1.0876610199999996,0.6,1.1245966119999997,7357.259606594221,7902.167810434364,7357.259606594221,9398.044788911795,6542.13211038397
pareto_front,,0.8275,1.1007450759375002,0.6,1.1324470455625,7400.438347281495,7961.47436394144,7400.438347281495,9509.190013431245,6534.908962216074
pareto_front,,0.8250000000000001,1.1137503124999995,0.6,1.1402501874999995,7442.89503740842,8020.118600162,7442.89503740842,9620.3045611414,6527.422770021182
pareto_front,,0.8225,1.1266769678125002,0.6,1.1480061806875002,7484.646122334684,8078.111421884105,7484.646122334684,9731.387564010547,6519.691486201229
pareto_front,,0.8200000000000001,1.1395252799999998,0.6,1.155715168,7525.707547051608,8135.463418217872,7525.707547051608,9842.43797646063,6511.732090593803
pareto_front,,0.8175,1.1522954871875,0.6,1.1633772923125,7566.094775072494,8192.184877493375,7566.094775072494,9953.454584576091,6503.560646291289
pareto_front,,0.8150000000000001,1.1649878274999999,0.6,1.1709926965,7605.82280647384,8248.285799551186,7605.82280647384,10064.436014668274,6495.192351930984
pareto_front,,0.8125,1.1776025390625,0.6,1.1785615234375,7644.906195131659,8303.775907903668,7644.906195131659,10175.380741251163,6486.641590702731
pareto_front,,0.81,1.19013986,0.6,1.1860839159999998,7683.3590651944805,8358.664660511906,7683.3590651944805,10286.287094479445,6477.921976301786
pareto_front,,0.8075,1.2026000284375,0.6,1.1935600170625,7721.195126832226,8412.961260434442,7721.195126832226,10397.153267094387,6469.046396037168
pareto_front,,0.805,1.2149832824999998,0.6,1.2009899694999997,7758.427691297813,8466.674665823097,7758.427691297813,10507.977320919048,6460.027051289886
pareto_front,,0.8025,1.2272898603125,0.6,1.2083739161875,7795.069685336205,8519.81359940749,7795.069685336205,10618.75719294036,6450.875495500737
pareto_front,,0.8,1.2395199999999997,0.6,1.215712,7831.133664973734,8572.38655748704,7831.133664973734,10729.490701012102,6441.6026698541555
