record_id,paper_id,sample_label,particle_grade,particle_true_density_g_cc,particle_volume_fraction,measured_density_g_cc,modulus_mpa,strength_mpa,strain_rate_per_s,particle_source,eta_used,E_pred_HP_MT_mpa,E_pred_HP_DS_mpa,E_pred_HP_MT_K46_mpa,E_HS_lower_mpa,E_HS_upper_mpa,abs_pct_error_HP_MT,abs_pct_error_HP_DS,signed_pct_error_HP_MT,inside_hs_band
W3162570773-000,W3162570773,NSF,3M S60HS,0.6,0.3,0.953,1170.0,97.2,0.00417,reported_true_density,0.9140907996334218,3993.619919445348,4022.129599546847,3696.112255038814,3993.619919445348,4201.127029290369,241.33503585002975,243.77176064502967,241.33503585002975,False
W2900342134-009,W2900342134,S38-S32-S32-S38,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",,0.6,0.6386000000000001,1930.0,61.9,,back_calculated_from_density,0.9621459570445001,3298.5255860235557,3299.51736103326,4536.146916825539,3298.5255860235557,3301.8225226036798,70.9080614519977,70.9594487582,70.9080614519977,False
W2900342134-008,W2900342134,S32-S38-S38-S32,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",,0.6,0.6357,1918.0,61.19,,back_calculated_from_density,0.9628306578413223,3261.838368761732,3262.710593392651,4536.146916825539,3261.838368761732,3264.7430604804154,70.06456562887028,70.1100413656231,70.06456562887028,False
W2900342134-007,W2900342134,K46-S22-S22-K46,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",,0.6,0.6386000000000001,1826.0,54.72,,back_calculated_from_density,0.9621459570445001,3298.5255860235557,3299.51736103326,4536.146916825539,3298.5255860235557,3301.8225226036798,80.64214600348059,80.69646007849178,80.64214600348059,False
W2900342134-006,W2900342134,S22-K46-K46-S22,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",,0.6,0.6415,1842.0,55.11,,back_calculated_from_density,0.9614602803383125,3334.9900404579153,3336.1189514145963,4536.146916825539,3334.9900404579153,3338.7360665540677,81.05266234842102,81.1139495881974,81.05266234842102,False
W2900342134-005,W2900342134,Plain Foam (non-gradient syntactic foam of similar density),"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",,0.6,,585.7,47.9,,assumed_K46,0.935570543253382,4536.146916825539,4564.806156512037,4536.146916825539,4536.146916825539,4630.283979214606,674.4829975799111,679.3761578473684,674.4829975799111,False
W2900342134-002,W2900342134,S32-S38-S38-S32,"3M Scotchlite S32/S38 glass microballoons, layer sequence S32-S38-S38-S32 (each layer 60 vol% microballoons)",,0.6,0.622,795.0,60.34,,back_calculated_from_density,0.9660521882216339,3085.4480759018156,3085.9300221214994,4536.146916825539,3085.4480759018156,3087.062206135347,288.10667621406486,288.1672983800628,288.10667621406486,False
W2900342134-003,W2900342134,S38-S32-S32-S38,"3M Scotchlite S32/S38 glass microballoons, layer sequence S38-S32-S32-S38 (each layer 60 vol% microballoons)",,0.6,0.628,783.9,60.89,,back_calculated_from_density,0.9646439468837696,3163.3309882442054,3163.9559140436154,4536.146916825539,3163.3309882442054,3165.4204897378086,303.5375670677644,303.6172871595376,303.5375670677644,False
W2900342134-010,W2900342134,K46-S38-S32-S22,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",,0.6,0.6402,1920.0,57.01,,back_calculated_from_density,0.9617677735605268,3318.671322907645,3319.736463489487,4536.146916825539,3318.671322907645,3322.208608891655,72.84746473477317,72.90294080674411,72.84746473477317,False
W2900342134-001,W2900342134,K46-S22-S22-K46,"3M Scotchlite K46/S22 glass microballoons, layer sequence K46-S22-S22-K46 (each layer 60 vol% microballoons)",,0.6,0.623,722.7,42.72,,back_calculated_from_density,0.965817766424461,3098.497854796292,3099.001663138318,4536.146916825539,3098.497854796292,3100.184928976986,328.73915245555446,328.8088644165377,328.73915245555446,False
W2900342134-000,W2900342134,S22-K46-K46-S22,"3M Scotchlite K46/S22 glass microballoons, layer sequence S22-K46-K46-S22 (each layer 60 vol% microballoons)",,0.6,0.627,703.3,42.54,,back_calculated_from_density,0.9648789393283599,3150.4195010615113,3151.0182808770005,4536.146916825539,3150.4195010615113,3152.422356294757,347.9481730501225,348.0333116560501,347.9481730501225,False
W2900342134-004,W2900342134,K46-S38-S32-S22,"3M Scotchlite K46/S22/S32/S38 glass microballoons, layer sequence K46-S38-S32-S22 (each layer 60 vol% microballoons)",,0.6,0.629,722.4,49.38,,back_calculated_from_density,0.964408839892522,3176.2150815195546,3176.867315792884,4536.146916825539,3176.2150815195546,3178.3949645321904,339.67539888144444,339.76568601784106,339.67539888144444,False
W2900342134-011,W2900342134,Plain Foams (non-gradient syntactic foam of similar density),"3M Scotchlite glass microballoons (plain, single-layer foam of similar density to the IFGSFs; type not stated)",,0.6,,1181.0,44.18,,assumed_K46,0.935570543253382,4536.146916825539,4564.806156512037,4536.146916825539,4536.146916825539,4630.283979214606,284.09372708090933,286.5204196877254,284.09372708090933,False
