grade,eta,particle_rho,in_eta_window,vf_max_feasible,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo,E_hs_hi
K1,0.9833190951051428,0.12499999999999978,False,0.28143204561123825,0.8830891918801436,2500.0,2494.4135322037687,2458.8881901877644,2500.0
K15,0.9799142233301894,0.1500000000000003,False,0.3837033180422595,0.7847855824164728,2500.0000000000005,2496.2481268661645,2480.3506029208697,2500.0000000000005
K20,0.9730325761726207,0.19999999999999993,False,0.6,0.592,2680.552399673038,2680.033090848229,2678.829033102458,2680.552399673038
K25,0.9660521882216339,0.2500000000000004,True,0.6,0.6220000000000002,3085.4480759018156,3085.9300221214994,3085.4480759018156,3087.062206135347
S22,0.9702524679462838,0.2199999999999996,False,0.6,0.6039999999999998,2845.6881105047555,2845.748772293296,2845.6881105047555,2845.890475332485
S32,0.9561068270646955,0.31999999999999973,True,0.6,0.6639999999999998,3610.5544104570577,3613.5299817975724,3610.5544104570577,3620.3221123760063
S38,0.9474144656904223,0.38000000000000017,True,0.6,0.7000000000000001,4026.0163622174805,4035.9001594250453,4026.0163622174805,4058.3251589747983
K46,0.935570543253382,0.45999999999999974,True,0.6,0.7479999999999998,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606
S60,0.9140907996334218,0.6000000000000003,True,0.6,0.8320000000000001,5326.047433699519,5416.251763664908,5326.047433699519,5628.0881297333
