vf,E_MT_mpa,E_DS_mpa,E_HS_lo_mpa,E_HS_hi_mpa,nu_MT,rho_g_cc,specific_E_MT
0.0,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.999999999999,0.35,1.18,2542.372881355932
0.049999999999999996,3107.620337145958,3107.9505973949526,3107.620337145958,3121.657152181739,0.3446991667264128,1.144,2716.451343659054
0.09999999999999999,3218.4020485885057,3219.6944446190655,3218.4020485885057,3245.6454309810574,0.33924595520475004,1.108,2904.694989700817
0.15,3332.486954637827,3335.3232668371666,3332.486954637827,3372.0334036310933,0.3336335273180589,1.0719999999999998,3108.663203953197
0.19999999999999998,3450.0254867566982,3454.927120709943,3450.0254867566982,3500.892351500169,0.32785462974969515,1.0359999999999998,3330.140431232335
0.24999999999999997,3571.1773512080495,3578.5940248023358,3571.1773512080495,3632.296405731335,0.3219015619845544,0.9999999999999999,3571.17735120805
0.3,3696.112255038814,3706.4095714821674,3696.112255038814,3766.3226910983635,0.3157661413046642,0.9639999999999999,3834.1413434012597
0.35,3825.0107013398747,3838.456521240765,3825.0107013398747,3903.051478664791,0.30943966444452486,0.9279999999999999,4121.778772995555
0.39999999999999997,3958.064861619058,3974.8143799325962,3958.064861619058,4042.566347880955,0.3029128655283281,0.8919999999999999,4437.292445761276
0.44999999999999996,4095.4795341540444,4115.558960128101,4095.4795341540444,4184.954358806866,0.2961758698615246,0.8559999999999999,4784.438708123885
0.49999999999999994,4237.473198376684,4260.761928254537,4237.473198376684,4330.306235206621,0.28921814309209204,0.8199999999999998,5167.650241922786
0.5499999999999999,4384.2791767060435,4410.490338628538,4384.2791767060435,4478.716559323514,0.2820284351909998,0.7839999999999998,5592.1928274311795
0.6,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,0.2745947186252815,0.7479999999999998,6064.367535863022
